n,seconds
1464,0.0962859880
1465,0.0693581440
1466,0.0718751970
1467,0.0708054420
1468,0.0750522240
1469,0.1343945470
1470,0.1104233290
1471,0.1046340580
1472,0.1027527400
1473,0.0755003960
1474,0.0785848260
1475,0.1092262380
1476,0.0909404350
1477,0.0779979460
1478,0.0807041910
1479,0.0786626700
1480,0.0666098210
1481,0.0661844310
1482,0.0682926510
1483,0.0698452940
1484,0.0710946280
1485,0.0867759930
1486,0.0865366750
1487,0.0775036940
1488,0.0889325950
1489,0.0924922080
1490,0.0665287000
1491,0.0672717730
1492,0.0688885250
1493,0.0851931910
1494,0.0832372560
1495,0.0874574670
